time,datetime,NDVI
1267833600000,2010-03-06,0.5577
1269216000000,2010-03-22,0.4052
1270598400000,2010-04-07,0.6029
1271980800000,2010-04-23,0.6229
1273363200000,2010-05-09,0.5836
1274745600000,2010-05-25,0.5507000000000001
1276128000000,2010-06-10,0.5844
1277510400000,2010-06-26,0.6065
1278892800000,2010-07-12,0.5507000000000001
1280275200000,2010-07-28,0.5651
1281657600000,2010-08-13,0.615
1283040000000,2010-08-29,0.5985
1284422400000,2010-09-14,0.5682
1285804800000,2010-09-30,0.5494
1287187200000,2010-10-16,0.457
1288569600000,2010-11-01,0.6086
1289952000000,2010-11-17,0.5708
1291334400000,2010-12-03,0.5757
1292716800000,2010-12-19,0.5758
1293840000000,2011-01-01,0.6427
1295222400000,2011-01-17,0.5861000000000001
1296604800000,2011-02-02,0.5673
1297987200000,2011-02-18,0.45130000000000003
1299369600000,2011-03-06,0.5778
1300752000000,2011-03-22,0.37720000000000004
1302134400000,2011-04-07,0.2495
1303516800000,2011-04-23,0.5779000000000001
1304899200000,2011-05-09,0.4408
1306281600000,2011-05-25,0.6019
1307664000000,2011-06-10,0.3579
1309046400000,2011-06-26,0.6
1310428800000,2011-07-12,0.5709000000000001
1311811200000,2011-07-28,0.5621
1313193600000,2011-08-13,0.5905
1314576000000,2011-08-29,0.5941000000000001
1315958400000,2011-09-14,0.6557000000000001
1317340800000,2011-09-30,0.5418000000000001
1318723200000,2011-10-16,0.596
1320105600000,2011-11-01,0.25880000000000003
1321488000000,2011-11-17,0.6418
1322870400000,2011-12-03,0.6089
1324252800000,2011-12-19,0.6031000000000001
1325376000000,2012-01-01,0.5415
1326758400000,2012-01-17,0.6152000000000001
1328140800000,2012-02-02,0.5857
1329523200000,2012-02-18,0.5659000000000001
1330905600000,2012-03-05,0.2102
1332288000000,2012-03-21,0.5717
1333670400000,2012-04-06,0.5651
1335052800000,2012-04-22,0.5659000000000001
1336435200000,2012-05-08,0.6182000000000001
1337817600000,2012-05-24,0.5645
1339200000000,2012-06-09,0.5673
1340582400000,2012-06-25,0.6083000000000001
1341964800000,2012-07-11,0.6197
1343347200000,2012-07-27,0.5458000000000001
1344729600000,2012-08-12,0.6078
1346112000000,2012-08-28,0.5734
1347494400000,2012-09-13,0.5647
1348876800000,2012-09-29,0.5844
1350259200000,2012-10-15,0.3976
1351641600000,2012-10-31,0.5996
1353024000000,2012-11-16,0.5198
1354406400000,2012-12-02,0.5418000000000001
1355788800000,2012-12-18,0.5889
1356998400000,2013-01-01,0.6198
1358380800000,2013-01-17,0.6069
1359763200000,2013-02-02,0.6081
1361145600000,2013-02-18,0.47640000000000005
1362528000000,2013-03-06,0.5756
1363910400000,2013-03-22,0.3156
1365292800000,2013-04-07,0.5316000000000001
1366675200000,2013-04-23,0.5324
1368057600000,2013-05-09,0.4824
1369440000000,2013-05-25,0.5916
1370822400000,2013-06-10,0.5735
1372204800000,2013-06-26,0.546
1373587200000,2013-07-12,0.5807
1374969600000,2013-07-28,0.5711
1376352000000,2013-08-13,0.5908
1377734400000,2013-08-29,0.5703
1379116800000,2013-09-14,0.5859
1380499200000,2013-09-30,0.5646
1381881600000,2013-10-16,0.5805
1383264000000,2013-11-01,0.5702
1384646400000,2013-11-17,0.6
1386028800000,2013-12-03,0.5176000000000001
1387411200000,2013-12-19,0.622
1388534400000,2014-01-01,0.6164000000000001
1389916800000,2014-01-17,0.5968
1391299200000,2014-02-02,0.5755
1392681600000,2014-02-18,0.6216
1394064000000,2014-03-06,0.6052000000000001
1395446400000,2014-03-22,0.42550000000000004
1396828800000,2014-04-07,0.5769000000000001
1398211200000,2014-04-23,0.5778
1399593600000,2014-05-09,0.5523
1400976000000,2014-05-25,0.556
1402358400000,2014-06-10,0.6139
1403740800000,2014-06-26,0.5964
1405123200000,2014-07-12,0.5529000000000001
1406505600000,2014-07-28,0.5820000000000001
1407888000000,2014-08-13,0.6277
1409270400000,2014-08-29,0.619
1410652800000,2014-09-14,0.5821000000000001
1412035200000,2014-09-30,0.6096
1413417600000,2014-10-16,0.5689000000000001
1414800000000,2014-11-01,0.5778
1416182400000,2014-11-17,0.6047
1417564800000,2014-12-03,0.6031000000000001
1418947200000,2014-12-19,0.6177
1420070400000,2015-01-01,0.5755
1421452800000,2015-01-17,0.609
1422835200000,2015-02-02,0.5595
1424217600000,2015-02-18,0.5572
1425600000000,2015-03-06,0.5771000000000001
1426982400000,2015-03-22,0.559
1428364800000,2015-04-07,0.5415
1429747200000,2015-04-23,0.5374
1431129600000,2015-05-09,0.5084000000000001
1432512000000,2015-05-25,0.5903
1433894400000,2015-06-10,0.5824
1435276800000,2015-06-26,0.5971000000000001
1436659200000,2015-07-12,0.5767
1438041600000,2015-07-28,0.5502
1439424000000,2015-08-13,0.5469
1440806400000,2015-08-29,0.5812
1442188800000,2015-09-14,0.5488000000000001
1443571200000,2015-09-30,0.5796
1444953600000,2015-10-16,0.6167
1446336000000,2015-11-01,0.5515
1447718400000,2015-11-17,0.5961000000000001
1449100800000,2015-12-03,0.6272
1450483200000,2015-12-19,0.6501
1451606400000,2016-01-01,0.6226
1452988800000,2016-01-17,0.6032000000000001
1454371200000,2016-02-02,0.6351
1455753600000,2016-02-18,0.5716
1457136000000,2016-03-05,0.5637
1458518400000,2016-03-21,0.5469
1459900800000,2016-04-06,0.5416000000000001
1461283200000,2016-04-22,0.6015
1462665600000,2016-05-08,0.5502
1464048000000,2016-05-24,0.5351
1465430400000,2016-06-09,0.5997
1466812800000,2016-06-25,0.6131
1468195200000,2016-07-11,0.5676
1469577600000,2016-07-27,0.5828
1470960000000,2016-08-12,0.5729000000000001
1472342400000,2016-08-28,0.5781000000000001
1473724800000,2016-09-13,0.614
1475107200000,2016-09-29,0.6201
1476489600000,2016-10-15,0.632
1477872000000,2016-10-31,0.5318
1479254400000,2016-11-16,0.5936
1480636800000,2016-12-02,0.45630000000000004
1482019200000,2016-12-18,0.5712
1483228800000,2017-01-01,0.6021000000000001
1484611200000,2017-01-17,0.6093000000000001
1485993600000,2017-02-02,0.6012000000000001
1487376000000,2017-02-18,0.5918
1488758400000,2017-03-06,0.6157
1490140800000,2017-03-22,0.5715
1491523200000,2017-04-07,0.5859
1492905600000,2017-04-23,0.6893
1494288000000,2017-05-09,0.5533
1495670400000,2017-05-25,0.543
1497052800000,2017-06-10,0.5413
1498435200000,2017-06-26,0.5504
1499817600000,2017-07-12,0.2752
1501200000000,2017-07-28,0.5850000000000001
1502582400000,2017-08-13,0.5888
1503964800000,2017-08-29,0.547
1505347200000,2017-09-14,0.6512
1506729600000,2017-09-30,0.6214000000000001
1508112000000,2017-10-16,0.6256
1509494400000,2017-11-01,0.6225
1510876800000,2017-11-17,0.5967
1512259200000,2017-12-03,0.6317
1513641600000,2017-12-19,0.6156
1514764800000,2018-01-01,0.6076
1516147200000,2018-01-17,0.5798
1517529600000,2018-02-02,0.6077
1518912000000,2018-02-18,0.5354
1520294400000,2018-03-06,0.5261
1521676800000,2018-03-22,0.6271
1523059200000,2018-04-07,0.5177
1524441600000,2018-04-23,0.5097
1525824000000,2018-05-09,0.5676
1527206400000,2018-05-25,0.6087
1528588800000,2018-06-10,0.5890000000000001
1529971200000,2018-06-26,0.6208
1531353600000,2018-07-12,0.43
1532736000000,2018-07-28,0.5674
1534118400000,2018-08-13,0.4874
1535500800000,2018-08-29,0.6108
1536883200000,2018-09-14,0.5422
1538265600000,2018-09-30,0.6366
1539648000000,2018-10-16,0.6241
1541030400000,2018-11-01,0.6273000000000001
1542412800000,2018-11-17,0.5747
1543795200000,2018-12-03,0.5681
1545177600000,2018-12-19,0.6303000000000001
1546300800000,2019-01-01,0.6303000000000001
1547683200000,2019-01-17,0.6027
1549065600000,2019-02-02,0.5921000000000001
1550448000000,2019-02-18,0.5668000000000001
1551830400000,2019-03-06,0.5660000000000001
1553212800000,2019-03-22,0.5615
1554595200000,2019-04-07,0.5898
1555977600000,2019-04-23,0.6143000000000001
1557360000000,2019-05-09,0.5722
1558742400000,2019-05-25,0.49200000000000005
1560124800000,2019-06-10,0.62
1561507200000,2019-06-26,0.5294
1562889600000,2019-07-12,0.5528000000000001
1564272000000,2019-07-28,0.5524
1565654400000,2019-08-13,0.5669000000000001
1567036800000,2019-08-29,0.6122000000000001
1568419200000,2019-09-14,0.597
1569801600000,2019-09-30,0.6033000000000001
1571184000000,2019-10-16,0.6034
1572566400000,2019-11-01,0.6281
1573948800000,2019-11-17,0.559
1575331200000,2019-12-03,0.6523
1576713600000,2019-12-19,0.6087
1577836800000,2020-01-01,0.5749000000000001
1579219200000,2020-01-17,0.5199
1580601600000,2020-02-02,0.6213000000000001
1581984000000,2020-02-18,0.5805
1583366400000,2020-03-05,0.46530000000000005
1584748800000,2020-03-21,0.6433
1586131200000,2020-04-06,0.5624
1587513600000,2020-04-22,0.6019
1588896000000,2020-05-08,0.5364
1590278400000,2020-05-24,0.5613
1591660800000,2020-06-09,0.6038
1593043200000,2020-06-25,0.5854
1594425600000,2020-07-11,0.5640000000000001
1595808000000,2020-07-27,0.6059
1597190400000,2020-08-12,0.6065
1598572800000,2020-08-28,0.5883
1599955200000,2020-09-13,0.5979
1601337600000,2020-09-29,0.6074
1602720000000,2020-10-15,0.5765
1604102400000,2020-10-31,0.5495
1605484800000,2020-11-16,0.6203000000000001
1606867200000,2020-12-02,0.5674
1608249600000,2020-12-18,0.6149
1609459200000,2021-01-01,0.55
1610841600000,2021-01-17,0.5468000000000001
1612224000000,2021-02-02,0.5920000000000001
1613606400000,2021-02-18,0.561
1614988800000,2021-03-06,0.6019
1616371200000,2021-03-22,0.5756
1617753600000,2021-04-07,0.5958
1619136000000,2021-04-23,0.616
1620518400000,2021-05-09,0.5395
1621900800000,2021-05-25,0.5800000000000001
1623283200000,2021-06-10,0.5908
1624665600000,2021-06-26,0.5531
1626048000000,2021-07-12,0.5762
1627430400000,2021-07-28,0.6178
1628812800000,2021-08-13,0.61
1630195200000,2021-08-29,0.613
1631577600000,2021-09-14,0.6075
