"Date","Year","Month","RF"
"1947/09","1947","09","7.1"
"1947/10","1947","10","18.2"
"1947/11","1947","11","9.4"
"1947/12","1947","12","23.8"
"1948/01","1948","01","30.1"
"1948/02","1948","02","5.3"
"1948/03","1948","03","26.1"
"1948/04","1948","04","15.5"
"1948/05","1948","05","6.7"
"1948/06","1948","06","5.2"
"1948/07","1948","07","8.6"
"1948/08","1948","08","7.2"
"1948/09","1948","09","6.6"
"1948/10","1948","10","8.9"
"1948/11","1948","11","13.6"
"1948/12","1948","12","21.8"
"1949/01","1949","01","11.8"
"1949/02","1949","02","4.8"
"1949/03","1949","03","6.9"
"1949/04","1949","04","5.1"
"1949/05","1949","05","2.2"
"1949/06","1949","06","6.1"
"1949/07","1949","07","5.8"
"1949/08","1949","08","3.5"
"1949/09","1949","09","1.5"
"1949/10","1949","10","2.9"
"1949/11","1949","11","10.3"
"1949/12","1949","12","5.7"
"1950/01","1950","01","8.3"
"1950/02","1950","02","9.7"
"1950/03","1950","03","15.6"
"1950/04","1950","04","23.1"
"1950/05","1950","05","8"
"1950/06","1950","06","3.2"
"1950/07","1950","07","5.6"
"1950/08","1950","08","17.4"
"1950/09","1950","09","5.4"
"1950/10","1950","10","6.4"
"1950/11","1950","11","14.4"
"1950/12","1950","12","19.5"
"1951/01","1951","01","11.7"
"1951/02","1951","02","12.6"
"1951/03","1951","03","10.1"
"1951/04","1951","04","4.9"
"1951/05","1951","05","2.6"
"1951/06","1951","06","4.2"
"1951/07","1951","07","5.2"
"1951/08","1951","08","11.2"
"1951/09","1951","09","3.1"
"1951/10","1951","10","5.8"
"1951/11","1951","11","9.2"
"1951/12","1951","12","5.5"
"1952/01","1952","01","8.6"
"1952/02","1952","02","6.5"
"1952/03","1952","03","16.3"
"1952/04","1952","04","6.5"
"1952/05","1952","05","6.4"
"1952/06","1952","06","4.5"
"1952/07","1952","07","7.8"
"1952/08","1952","08","3.5"
"1952/09","1952","09","3.7"
"1952/10","1952","10","8"
"1952/11","1952","11","16.7"
"1952/12","1952","12","10"
"1953/01","1953","01","0.5"
"1953/02","1953","02","3.7"
"1953/03","1953","03","10.8"
"1953/04","1953","04","2"
"1953/05","1953","05","8.5"
"1953/06","1953","06","2.6"
"1953/07","1953","07","1.9"
"1953/08","1953","08","5.5"
"1953/09","1953","09","1.7"
"1953/10","1953","10","3.8"
"1953/11","1953","11","5.6"
"1953/12","1953","12","5"
"1954/01","1954","01","6.5"
"1954/02","1954","02","3.3"
"1954/03","1954","03","12.7"
"1954/04","1954","04","8.1"
"1954/05","1954","05","12"
"1954/06","1954","06","5.6"
"1954/07","1954","07","18.8"
"1954/08","1954","08","9"
"1954/09","1954","09","6"
"1954/10","1954","10","4.3"
"1954/11","1954","11","3.2"
"1954/12","1954","12","57.2"
"1955/01","1955","01","8.5"
"1955/02","1955","02","23.2"
"1955/03","1955","03","13.6"
