"Date","Year","Month","RF"
"1940/08","1940","08","10.4"
"1940/09","1940","09","1.8"
"1940/10","1940","10","3.5"
"1940/11","1940","11","4.2"
"1940/12","1940","12","2.8"
"1941/01","1941","01","7.4"
"1941/02","1941","02","2.5"
"1941/03","1941","03","5.8"
"1941/04","1941","04","3.3"
"1941/05","1941","05","8.8"
"1941/06","1941","06","9.4"
"1941/07","1941","07","4"
"1941/08","1941","08","4.9"
"1941/09","1941","09","3.3"
"1941/10","1941","10","10"
"1941/11","1941","11","3.6"
"1941/12","1941","12","4.8"
"1942/01","1942","01","2.4"
"1942/02","1942","02","4.1"
"1942/03","1942","03","30.6"
"1942/04","1942","04","8.5"
"1942/05","1942","05","3.9"
"1942/06","1942","06","2.4"
"1942/07","1942","07","2.6"
"1942/08","1942","08","3.4"
"1942/09","1942","09","2.7"
"1942/10","1942","10","3.1"
"1942/11","1942","11","3.6"
"1942/12","1942","12","2.4"
"1943/01","1943","01","5.2"
"1943/02","1943","02","4.6"
"1943/03","1943","03","7.4"
"1943/04","1943","04","7.3"
"1943/05","1943","05","5.7"
"1943/06","1943","06","2.3"
"1943/07","1943","07","3.2"
"1943/08","1943","08","3.5"
"1943/09","1943","09","1.7"
"1943/10","1943","10","0.7"
"1943/11","1943","11","1.7"
"1943/12","1943","12","2"
"1944/01","1944","01","1.8"
"1944/02","1944","02","4.8"
"1944/03","1944","03","4.4"
"1944/04","1944","04","4.7"
"1944/05","1944","05","2.5"
"1944/06","1944","06","3.3"
"1944/07","1944","07","5.7"
"1944/08","1944","08","2.3"
"1944/09","1944","09","1.6"
"1944/10","1944","10","6.2"
"1944/11","1944","11","1.7"
"1944/12","1944","12","4.8"
"1945/01","1945","01","1.7"
"1945/02","1945","02","1.2"
"1945/03","1945","03","5.2"
"1945/04","1945","04","5.9"
"1945/05","1945","05","2.7"
"1945/06","1945","06","1.8"
"1945/07","1945","07","1.7"
"1945/08","1945","08","2.8"
"1945/09","1945","09","1.7"
"1945/10","1945","10","3.2"
"1945/11","1945","11","3.6"
"1945/12","1945","12","4.9"
"1946/01","1946","01","12.8"
"1946/02","1946","02","5.9"
"1946/03","1946","03","3.8"
"1946/04","1946","04","4"
"1946/05","1946","05","2.2"
"1946/06","1946","06","2.2"
"1946/07","1946","07","4.2"
"1946/08","1946","08","2.8"
"1946/09","1946","09","2"
"1946/10","1946","10","1.9"
"1946/11","1946","11","4.5"
"1946/12","1946","12","18.2"
"1947/01","1947","01","3.9"
"1947/02","1947","02","2.4"
"1947/03","1947","03","6.4"
"1947/04","1947","04","4.4"
"1947/05","1947","05","5.5"
"1947/06","1947","06","1.6"
"1947/07","1947","07","2.7"
"1947/08","1947","08","3.1"
"1947/09","1947","09","2.9"
"1947/10","1947","10","2.5"
"1947/11","1947","11","3.3"
"1947/12","1947","12","7.7"
"1948/01","1948","01","13.1"
"1948/02","1948","02","5.2"
"1948/03","1948","03","10.1"
"1948/04","1948","04","5.3"
"1948/05","1948","05","3.2"
"1948/06","1948","06","1.3"
"1948/07","1948","07","3.7"
"1948/08","1948","08","1.5"
"1948/09","1948","09","2.8"
"1948/10","1948","10","5.3"
"1948/11","1948","11","5.9"
"1948/12","1948","12","5.6"
"1949/01","1949","01","4.9"
"1949/02","1949","02","2.9"
"1949/03","1949","03","3.5"
"1949/04","1949","04","2.9"
"1949/05","1949","05","3.1"
"1949/06","1949","06","2"
"1949/07","1949","07","4.1"
"1949/08","1949","08","2"
"1949/09","1949","09","1.1"
"1949/10","1949","10","2.7"
"1949/11","1949","11","6.7"
"1949/12","1949","12","4.2"
"1950/01","1950","01","3.9"
"1950/02","1950","02","2.5"
"1950/03","1950","03","8.7"
"1950/04","1950","04","14.8"
"1950/05","1950","05","4.1"
"1950/06","1950","06","1.9"
"1950/07","1950","07","5.3"
"1950/08","1950","08","5.9"
"1950/09","1950","09","1.3"
"1950/10","1950","10","1.6"
"1950/11","1950","11","9.9"
"1950/12","1950","12","16"
"1951/01","1951","01","3"
"1951/02","1951","02","4.5"
"1951/03","1951","03","6.2"
"1951/04","1951","04","2"
"1951/05","1951","05","1.9"
"1951/06","1951","06","2.6"
"1951/07","1951","07","3.4"
"1951/08","1951","08","4.2"
"1951/09","1951","09","1.9"
"1951/10","1951","10","3.8"
"1951/11","1951","11","3.7"
"1951/12","1951","12","3.9"
"1952/01","1952","01","5.7"
"1952/02","1952","02","4.5"
"1952/03","1952","03","6"
"1952/04","1952","04","3.5"
"1952/05","1952","05","5.9"
"1952/06","1952","06","3.9"
"1952/07","1952","07","5.3"
"1952/08","1952","08","3.7"
"1952/09","1952","09","1"
"1952/10","1952","10","7.8"
"1952/11","1952","11","5.3"
"1952/12","1952","12","2.8"
"1953/01","1953","01","0.2"
"1953/02","1953","02","3.5"
"1953/03","1953","03","5.1"
"1953/04","1953","04","2.6"
"1953/05","1953","05","4.5"
"1953/06","1953","06","1.8"
"1953/07","1953","07","3.4"
"1953/08","1953","08","3.2"
"1953/09","1953","09","0.6"
"1953/10","1953","10","1.7"
"1953/11","1953","11","3.9"
"1953/12","1953","12","2.9"
"1954/01","1954","01","5.3"
"1954/02","1954","02","1.3"
"1954/03","1954","03","7.9"
"1954/04","1954","04","4.2"
"1954/05","1954","05","7.4"
"1954/06","1954","06","3.3"
"1954/07","1954","07","4.4"
"1954/08","1954","08","5.6"
"1954/09","1954","09","1.4"
"1954/10","1954","10","1.2"
"1954/11","1954","11","0.8"
"1954/12","1954","12","18.8"
"1955/01","1955","01","6.6"
"1955/02","1955","02","11.9"
"1955/03","1955","03","4.5"
"1955/04","1955","04","3.3"
"1955/05","1955","05","3"
"1955/06","1955","06","3.1"
"1955/07","1955","07","2.6"
"1955/08","1955","08","3"
"1955/09","1955","09","1.5"
"1955/10","1955","10","1.4"
"1955/11","1955","11","2.8"
"1955/12","1955","12","3"
"1956/01","1956","01","5.2"
"1956/02","1956","02","12.8"
"1956/03","1956","03","3.2"
"1956/04","1956","04","6"
"1956/05","1956","05","4.3"
"1956/06","1956","06","4.1"
"1956/07","1956","07","4.2"
"1956/08","1956","08","6.7"
"1956/09","1956","09","1.2"
"1956/10","1956","10","6.1"
"1956/11","1956","11","2.9"
"1956/12","1956","12","6.1"
"1957/01","1957","01","2.4"
"1957/02","1957","02","4.6"
"1957/03","1957","03","2.2"
"1957/04","1957","04","5.9"
"1957/05","1957","05","3"
"1957/06","1957","06","1.5"
"1957/07","1957","07","3.5"
"1957/08","1957","08","11.2"
"1957/09","1957","09","1.3"
"1957/10","1957","10","11.1"
"1957/11","1957","11","4"
"1957/12","1957","12","15"
"1958/01","1958","01","4.4"
"1958/02","1958","02","2.7"
"1958/03","1958","03","6.7"
"1958/04","1958","04","2.1"
"1958/05","1958","05","5.5"
"1958/06","1958","06","5.2"
"1958/07","1958","07","12.9"
"1958/08","1958","08","10.9"
"1958/09","1958","09","2"
"1958/10","1958","10","8.7"
"1958/11","1958","11","3.2"
"1958/12","1958","12","7.3"
"1959/01","1959","01","10"
"1959/02","1959","02","8.8"
"1959/03","1959","03","2"
"1959/04","1959","04","6.9"
"1959/05","1959","05","3.9"
"1959/06","1959","06","0.8"
"1959/07","1959","07","2.2"
"1959/08","1959","08","5.2"
"1959/09","1959","09","1.8"
"1959/10","1959","10","1.2"
"1959/11","1959","11","7.4"
"1959/12","1959","12","12.5"
"1960/01","1960","01","1.7"
"1960/02","1960","02","12.8"
"1960/03","1960","03","7.5"
"1960/04","1960","04","6.5"
"1960/05","1960","05","3.6"
"1960/06","1960","06","2.2"
"1960/07","1960","07","2.8"
"1960/08","1960","08","2.8"
"1960/09","1960","09","2.7"
"1960/10","1960","10","1.3"
"1960/11","1960","11","3.6"
"1960/12","1960","12","2.9"
"1961/01","1961","01","2.5"
"1961/02","1961","02","5.4"
"1961/03","1961","03","0.9"
"1961/04","1961","04","11.2"
"1961/05","1961","05","1.2"
"1961/06","1961","06","2.2"
"1961/07","1961","07","1.3"
"1961/08","1961","08","1.1"
"1961/09","1961","09","0.9"
"1961/10","1961","10","2.4"
"1961/11","1961","11","6.6"
"1961/12","1961","12","2.8"
"1962/01","1962","01","2.3"
"1962/02","1962","02","2.9"
"1962/03","1962","03","5.8"
"1962/04","1962","04","1.7"
"1962/05","1962","05","2.5"
"1962/06","1962","06","0.6"
"1962/07","1962","07","2"
"1962/08","1962","08","1.5"
"1962/09","1962","09","1.3"
"1962/10","1962","10","0.9"
"1962/11","1962","11","0.8"
"1962/12","1962","12","3.4"
"1963/01","1963","01","6.9"
"1963/02","1963","02","2.1"
"1963/03","1963","03","5.7"
"1963/04","1963","04","6.8"
"1963/05","1963","05","4.5"
"1963/06","1963","06","1.9"
"1963/07","1963","07","4.1"
"1963/08","1963","08","1.6"
"1963/09","1963","09","3.9"
"1963/10","1963","10","3.1"
"1963/11","1963","11","3.6"
"1963/12","1963","12","2.1"
"1964/01","1964","01","4.5"
"1964/02","1964","02","5.1"
