,datetime,ET
83,2002-11-25,14.791712707182322
84,2002-12-03,13.551149425287358
85,2002-12-11,10.265934065934067
86,2002-12-19,12.924418604651164
87,2002-12-27,8.718681318681318
88,2003-01-01,9.242696629213484
89,2003-01-09,12.028021978021979
90,2003-01-17,10.114285714285714
91,2003-01-25,19.177777777777777
92,2003-02-02,11.774175824175826
93,2003-02-10,17.304945054945055
94,2003-02-18,18.283428571428573
95,2003-02-26,10.766666666666667
96,2003-03-06,13.060989010989012
97,2003-03-14,13.115555555555558
98,2003-03-22,14.95879120879121
99,2003-03-30,23.121052631578948
100,2003-04-07,22.77247191011236
101,2003-04-15,21.574175824175825
102,2003-04-23,20.286813186813188
103,2003-05-01,18.763917525773195
104,2003-05-09,27.108125
105,2003-05-17,15.896511627906978
106,2003-05-25,10.240000000000002
107,2003-06-02,24.309411764705885
108,2003-06-10,25.214835164835165
109,2003-06-18,20.430065359477126
110,2003-06-26,18.509550561797752
111,2003-07-04,29.373417721518987
112,2003-07-12,24.05819209039548
113,2003-07-20,21.678709677419356
114,2003-07-28,21.556849315068494
115,2003-08-05,25.857142857142858
116,2003-08-13,29.323076923076925
117,2003-08-21,21.13856209150327
118,2003-08-29,18.681318681318682
119,2003-09-06,21.106211180124223
120,2003-09-14,26.202197802197805
121,2003-09-22,15.417582417582418
122,2003-09-30,16.611538461538462
123,2003-10-08,17.811458333333334
124,2003-10-16,21.123287671232877
125,2003-10-24,17.10223463687151
126,2003-11-01,13.794117647058824
127,2003-11-09,13.819277108433736
128,2003-11-17,20.879888268156424
129,2003-11-25,19.178571428571427
130,2003-12-03,21.116129032258065
131,2003-12-11,12.041818181818183
132,2003-12-19,11.755494505494505
133,2003-12-27,7.3500000000000005
134,2004-01-01,15.573743016759778
135,2004-01-09,13.535955056179777
136,2004-01-17,16.219875776397515
137,2004-01-25,17.695054945054945
138,2004-02-02,19.229861111111113
139,2004-02-10,22.595054945054947
140,2004-02-18,20.075000000000003
141,2004-02-26,19.56593406593407
142,2004-03-05,21.29814814814815
143,2004-03-13,21.26123595505618
144,2004-03-21,16.46043956043956
145,2004-03-29,28.689010989010992
146,2004-04-06,27.11193181818182
147,2004-04-14,25.873595505617978
148,2004-04-22,29.3
149,2004-04-30,29.2956043956044
150,2004-05-08,25.645604395604398
151,2004-05-16,27.107189542483663
152,2004-05-24,30.3
153,2004-06-01,29.62444444444445
154,2004-06-09,28.60730337078652
155,2004-06-17,31.306250000000002
156,2004-06-25,25.832967032967034
157,2004-07-03,20.59285714285714
158,2004-07-11,24.450000000000003
159,2004-07-19,16.935164835164837
160,2004-07-27,26.173076923076923
161,2004-08-04,23.56140350877193
162,2004-08-12,20.434375000000003
163,2004-08-20,25.03563218390805
164,2004-08-28,18.2
165,2004-09-05,19.133516483516484
